lat1,lon1,lat2,lon2,user,timestamp,uuid
16.5497775916,-88.7058904767,16.5496567502,-88.7057657540,eklo,2016-11-04 17:34:02.513436+00:00,fb2fd14a-3eee-4256-b6b1-520457590b2c
16.5501851092,-88.7051139772,16.5500565549,-88.7049892545,eklo,2016-11-04 17:34:02.518255+00:00,11491f9c-d592-4f4d-8958-f7474d82b63f
16.5499807077,-88.7059803307,16.5498457255,-88.7058247626,eklo,2016-11-04 17:34:02.518556+00:00,89b6b8d7-d79b-49a8-93a4-2d695ccdf4fe
16.5496721768,-88.7058864534,16.5495924729,-88.7057684362,eklo,2016-11-04 17:34:02.526197+00:00,bbf547b5-5ba1-4391-b88b-4cb0316d6495
16.5398323508,-88.6980088055,16.5397642133,-88.6979082227,eklo,2016-11-04 17:34:53.756809+00:00,fe73a898-1d13-4975-9973-bf5bbb77ca59
16.5394016701,-88.6979913712,16.5393425318,-88.6979055405,eklo,2016-11-04 17:34:53.770177+00:00,57fb0e46-bf1a-4cbb-9b60-76e3007843b7
16.5394672365,-88.6982502043,16.5394042414,-88.6981777847,eklo,2016-11-04 17:34:53.768251+00:00,075bd2d8-cbab-4263-8312-8934264e9bf3
16.5395572295,-88.6983762681,16.5394878063,-88.6982917786,eklo,2016-11-04 17:34:54.106791+00:00,c91282d5-d8f1-4ea6-81fd-61f7cc940a2a
16.5398272083,-88.6979256570,16.5397475003,-88.6978639662,eklo,2016-11-04 17:34:53.778950+00:00,31f283be-4e97-4411-af35-1719d8d49804
16.5397603565,-88.6981804669,16.5396832197,-88.6981080472,eklo,2016-11-04 17:34:53.767952+00:00,8fa0642a-ac74-48d2-b406-7965b8e5c0b9
16.5396240814,-88.6983051896,16.5395482302,-88.6982300878,eklo,2016-11-04 17:34:53.780657+00:00,12141e88-4cdd-4b9a-91cd-bbe542db8c0b
16.5396845053,-88.6986270547,16.5395932267,-88.6984848976,eklo,2016-11-04 17:34:55.058920+00:00,4b6869fa-0658-4f3e-a52e-4378163bca26
16.5568543928,-88.6955948174,16.5567759773,-88.6955143511,eklo,2016-11-04 17:40:01.903102+00:00,6235a4ec-5775-4258-baed-0e1b1b90e9dd
